texto,classe
"Dólar opera em alta e bate R$ 5,08, de olho em novas tarifas de Trump e impasse entre EUA e Irã; Ibovespa cai",fato
Governo Trump corta parte das tarifas sobre produtos feitos de aço e alumínio,fato
Imposto de Renda 2026 chega aos últimos dias; veja documentos e erros para evitar,fato
Presidente do BC nega rivalidade entre PIX e cartões e diz que sistema ampliou uso de crédito,fato
"PIX, minerais críticos e tarifas: o que o governo Lula quer discutir com Trump na economia",fato
BC comunica vazamento de dados de 46 chaves PIX de clientes da Credifit Sociedade de Crédito,fato
"PIX chega a 3 milhões de cadastros em 8 horas, diz Banco Central",fato
"PIX registrou novo recorde na última sexta com 227,4 milhões de operações, diz Banco Central",fato
Banco Central diz que dados cadastrais do PIX de clientes do Banpará foram expostos devido a falha no sistema,fato
Golpe do 'PIX errado': bancos alertam para aumento de ocorrências; saiba como se proteger,fato
PIX e cartão de crédito: saiba a quais dados de clientes a Receita tem acesso,fato
'PIX Garantido': BC avança na modalidade que poderá ser alternativa ao cartão de crédito,fato
"Falta de pagamento de tributos por pessoas físicas e empresas não suspende uso do PIX, diz BC",fato
PIX: Febraban diz que investigação dos EUA deve-se a 'informação incompleta' sobre 'objetivos e funcionamento' do sistema,fato
Golpe do PIX: hackers contam como enganam vítimas; saiba como se proteger,fato
"PIX: BC relata vazamento de dados cadastrais de 159,6 mil clientes da Acesso Soluções de Pagamento",fato
Pix errado ou golpe? Saiba como identificar antes de devolver dinheiro,fato
"Pagamentos recorrentes entre bancos distintos deverá ser feito com PIX Automático, define BC",fato
Banco Central ironiza nas redes fake news sobre taxação do PIX e usa hit do verão: 'Descer para o BC',fato
Fez ou recebeu PIX por engano? Veja o que fazer,fato
Transações por PIX superam os R$ 60 trilhões desde a criação; uso por empresas se multiplica,fato
"Golpistas criam páginas falsas de pré-cadastro do sistema de pagamentos PIX, alerta empresa",fato
"Banco Central informa que vazamento no CNJ expôs dados cadastrais de 46,89 milhões de chaves PIX",fato
Pix do Nubank fica fora do ar,fato
PIX: cobrança de tarifas para empresas é permitida e bancos aderiram; veja quais são e quanto cobram,fato
"Jogos de loteria poderão ser pagos com PIX, diz Banco Central",fato
Receita diz que recebe movimentações de cartões de crédito e PIX com 'absoluto respeito' ao sigilo bancário,fato
PIX não tem nem nunca teve taxa; entenda como funciona o meio de pagamento,fato
"PIX: quais dados foram vazados, quais os riscos e como se proteger",fato
PIX completa 5 anos: como o sistema mudou os pagamentos e quais são os próximos desafios,fato
"PIX movimenta R$ 35,4 trilhões em 2025 e bate recorde; BC promete novidades para este ano",fato
PIX Agendado Recorrente passa a valer nesta segunda-feira; veja como funciona,fato
PIX: Quais serão as tarifas cobradas pelas transações financeiras?,fato
PIX: BC limita opções para definição de horário noturno; veja o que muda,fato
Como enviar dinheiro da Europa para o Brasil com economia?,fato
PIX começa a funcionar nesta segunda-feira; saiba tudo sobre a nova modalidade de pagamentos,fato
PIX e segurança: o que vale a pena saber antes de usar o novo método de pagamentos e transferências,fato
"Lula pede, e Caixa suspende cobrança de taxa para PIX de contas de pessoas jurídicas",fato
Por que o PIX virou alvo de Trump em investigação comercial contra o Brasil?,fato
Entenda a diferença entre sigilo bancário e o monitoramento da Receita para transações financeiras,fato
"No 1º dia de cadastro do PIX, clientes relatam dificuldade de acesso a aplicativos de bancos",fato
Dinheiro 'esquecido' em bancos: valores podem ser recebidos por PIX,fato
PIX: Banco Central comunica vazamento de dados de clientes da Cronos Instituição de Pagamento,fato
O PIX e a revolução dos pagamentos no Brasil,fato
Novembro começa com novas regras para uso do PIX e financiamento de imóveis; veja o que muda,fato
Brasileiros usam PIX como ferramenta para cantadas,fato
PIX: é preciso ser cliente de banco ou não?,fato
TCU aprova plano de auditoria para as 'emendas Pix',fato
Quando vale a pena usar o PIX Automático?,fato
"Entenda a nova lei cambial: limite maior para viagens, conta em dólar e aval para 'PIX internacional'",fato
Cadastro da 'chave PIX' pode ser feito a partir desta segunda; veja instituições financeiras já aprovadas,fato
Criminosos se passam por profissionais e aplicam golpes via PIX e cartão; entenda esquema,fato
PIX Automático: veja 9 perguntas e respostas sobre nova modalidade de pagamento,fato
Reforma tributária: Receita prepara super sistema para aprimorar cobrança de impostos e reduzir sonegação,fato
"Beneficiário poderá usar PIX para movimentar dinheiro do auxílio emergencial, diz BC",fato
PIX por aproximação: BC quer padronizar e ampliar modalidade em maio,fato
PIX vai oferecer a empreendedores crédito parecido com o consignado; entenda,fato
PIX automático: bancos devem checar informações de empresas para assegurar que são confiáveis e evitar fraudes,fato
Novas regras facilitam pagar boletos com PIX e dão largada para juro menor em mercado trilionário de antecipação de vendas a prazo,fato
"Banco Central não desistiu de regulamentar PIX Parcelado, mas não dá prazo para concluir regras",fato
Clientes reclamam de instabilidade no aplicativo da Caixa: 'PIX não funciona',fato
Imposto de Renda 2022: restituição poderá ser recebida via PIX,fato
Polêmica do PIX: Receita diz ter dados de movimentações há décadas e nega intenção de 'pegar' trabalhador informal,fato
PIX Automático: BC lança nova modalidade nesta quarta; saiba como vai funcionar,fato
"PIX, novo sistema de pagamentos desenvolvido pelo BC, vai permitir transações instantâneas; entenda",fato
BC estabelece limite de R$ 1 mil para transferências noturnas pelo PIX a fim de evitar roubos,fato
"PIX chega a 50 milhões de 'chaves' cadastradas, diz Banco Central",fato
PIX: o que o governo faz com monitoramento das transações? Que dados são enviados à Receita?,fato
PIX fora do ar? Clientes do Banco do Brasil reclamam de instabilidade nesta segunda-feira,fato
Banco Central permitirá que clientes bloqueiem abertura de chaves PIX em seu nome,fato
Lula defende Pix e diz que sistema brasileiro assusta norte-americanos,fato
Lula responsabiliza clã Bolsonaro por ataque dos EUA ao Pix e taxação,fato
Febraban rebate críticas dos EUA ao Pix e nega barreira à concorrência,fato
Alckmin: Pix é patrimônio nacional e não entra em negociação com EUA,fato
EUA atacam Pix para favorecer empresas de pagamentos estadunidenses,fato
Durigan afirma que Pix não está na mesa de negociação com EUA,fato
Lula volta a defender o Pix e fala em articulação de Flávio Bolsonaro,fato
"Classificar facções como terroristas gera risco ao Pix, diz Durigan",fato
"Brasil é quem define como combate e classifica o crime, diz Planalto",fato
Receita paga nesta sexta maior lote de restituição do IR da história,fato
Receita paga hoje (29) o 1º lote de restituição do imposto de renda,fato
Ministério detalha setores mais afetados em caso de taxação pelos EUA,fato
Especialistas analisam novas sanções dos EUA ao Brasil,fato
Classificação de facções como terroristas prejudica economia do Brasil,fato
Governo dos EUA propõe nova tarifa de 25% sobre produtos brasileiros,fato
Bancos não terão atendimento presencial no feriado de Corpus Christi,fato
Brasil rebate EUA e chama investigação comercial de ingerência,fato
Brasil vai buscar novos parceiros para dimunuir impactos comerciais,fato
Lula se reúne com Durigan para tratar de decisão dos EUA sobre facções,fato
Agência Brasil,fato
"Bancos, repartições e parte do comércio fecham no Corpus Christi",fato
"Governo cita Lei da Reciprocidade contra EUA, mas manterá diálogo",fato
Veja argumentações apresentadas em relatório para taxar Brasil,fato
Receita espera receber 44 milhões de declarações do IR até amanhã,fato
Trump contra o Pix: entenda o que pode ter motivado críticas dos EUA,fato
MEC amplia número de municípios com provas do Enem,fato
"Declaração do Imposto de Renda será automática, diz ministro",fato
Enem 2026: inscrições vão até 5 de junho,fato
"Lula sobre sanções dos EUA: ""Brasil não é republiqueta insignificante""",fato
Setor de embalagens de papel registra recorde de vendas em abril,fato
"Bancos transferem R$ 5,7 bi de valores esquecidos para o Desenrola",fato
"Bolsa sobe 1,16%, e dólar cai para R$ 5, apesar de medida dos EUA",fato
CNI vê risco para exportações com tarifa de 25% dos EUA,fato
"""Quem tinha que aumentar a taxa seríamos nós"", diz Lula sobre EUA",fato
Dois milhões de contribuintes ainda não declararam o IR,fato
Resultados de recursos do Enem 2026 já estão disponíveis,fato
Saiba como pedir reembolso de produtos Ypê suspensos pela Anvisa,fato
PF investigará ataque hacker a empresa que atende bancos,fato
"Em um mês, R$ 83,4 bilhões foram movimentados via Pix, diz BC",fato
Pix: Cobrança exige cuidados para não cair em golpes,fato
BC suspende três instituições do Pix após ataque cibernético,fato
"Pix, aluguéis e golpes: as fake news sobre o Imposto de Renda de 2026",fato
Transações com PIX vão ter valor limitado entre as 20h e as 06h,fato
Maior adesão de empresas é desafio para expansão do open finance,fato
"Mais de 3,5 milhões de chaves já foram cadastradas no Pix",fato
Pagamentos em pix,fato
Flávio Dino decide que emendas Pix sejam transparentes e rastreáveis,fato
Pix por aproximação deve entrar em operação em 2025,fato
Golpistas usam página falsa do Enem para roubar dinheiro da inscrição,fato
Polícia prende suspeito de participar de invasão hacker envolvendo Pix,fato
BB torna-se primeiro banco a oferecer iniciação de pagamentos com Pix,fato
Banese sofre falha de segurança e invasores acessam chaves Pix,fato
Anti-fake: Receita envia e-mail sobre problemas na declaração?,fato
BC iguala limite do Pix ao das transferências eletrônicas,fato
Brasileiros podem usar Pix para pagar em lojas físicas na Argentina,fato
BC aumenta combate a contas laranjas para reforçar segurança do Pix,fato
Receita alerta para golpe do falso IOF antecipado via Pix,fato
Veja como vai funcionar devolução do Pix em caso de golpe,fato
Prazo para pagar taxa de inscrição do Enem termina na quarta-feira,fato
Pedágios de rodovias federais poderão ser pagos com PIX,fato
Dino manda CGU auditar R$ 469 milhões de emendas sem plano de trabalho,fato
Pix por aproximação começa a funcionar nesta sexta-feira,fato
Mais da metade dos brasileiros já foram vítimas de fraudes digitais,fato
Banco Central comunica exposição de dados de 8 mil chaves PIX do BTG,fato
BC publicará regulação do Pix Parcelado na última semana do mês,fato
"Apostas online só poderão ser pagas por PIX, transferência ou débito",fato
Banco Central inicia testes com plataforma do real digital,fato
Governo publica MP que proíbe impostos e cobranças extras sobre Pix,fato
Entenda como funcionará a transferência de Pix por aproximação,fato
"Brasileiros usam cada vez menos dinheiro em espécie, diz BC",fato
Flávio Dino suspende repasse de emendas para nove cidades,fato
Saiba como vai funcionar o cashback da restituição automática do IR,fato
Pessoas físicas não poderão ser cobradas por uso do Pix,fato
Pix: nova regra para dificultar ações de golpistas começa a valer,fato
BC aprova obrigatoriedade de bancos ofertarem Pix por agendamento,fato
Febraban dá dicas para pagamentos em maquininhas no carnaval,fato
Pix: Procon pede explicações a Mercado Pago e NuBank sobre cadastros,fato
Pix: novas regras vão facilitar devolução de valores em casos de golpe,fato
Haddad discute com Campos Neto parcelamento de dívidas pelo Pix,fato
Funcionário que deu acesso a hackers executarem fraude é preso,fato
Dino afirma que é “dever” do Judiciário apurar as chamadas emendas Pix,fato
Anti-fake: o governo passou a cobrar IR por transações em Pix?,fato
BC comunica vazamento de dados de 238 chaves Pix,fato
"Receita cobrará dados de fintechs de forma retroativa, desde janeiro",fato
Pix: novo sistema de pagamento instantâneo entra em funcionamento,fato
Receita abre na sexta consulta a maior lote de restituição da história,fato
"Não é verdade que bancos perdem dinheiro com PIX, diz presidente do BC",fato
Entenda o golpe do Pix errado e saiba como não ser enganado,fato
Chaves Pix de 28 mil clientes da Pefisa S.A. tiveram dados vazados,fato
PIX | Radioagência Nacional,fato
Cerca de 76% de empresas do RJ utilizam o PIX para comércio,fato
Febraban: 82% das transações bancárias no país são feitas digitalmente,fato
Pix completa um ano com nova funcionalidade de devolução,fato
Banco Central regulamenta Pix Saque e Pix Troco,fato
BC comunica exposição de chaves Pix em sistema do MP de Goiás,fato
"Real digital se chamará Drex, confirma Banco Central",fato
Eu preciso declarar recebimentos em Pix de pessoas físicas?,fato
Dino dá 90 dias para estados e municípios regularizarem Emendas Pix,fato
Banco Central comunica vazamento de dados de chaves Pix da 99Pay,fato
Imposto de Renda — Receita Federal,fato
Como realizar pagamento pelo Minhas Importações dos Correios — Receita Federal,fato
Lotes de Restituição — Receita Federal,fato
Entrega — Receita Federal,fato
"Receita Federal atinge objetivos estabelecidos para o IRPF 2026, avalia secretário",fato
OBRIGATORIEDADE DE ENTREGA,fato
Manual de utilização do ReVar - Renda Variável — Receita Federal,fato
Em que conta recebo a restituição? — Receita Federal,fato
Receita Federal abre consulta ao maior lote de restituição da história nesta sexta-feira (22),fato
Documento de arrecadação do Simples Nacional já pode ser pago via Pix — Receita Federal,fato
Receita Federal alerta para novo golpe com guia falsa do Simples Nacional para pagamento via PIX,fato
DARF da Declaração Eletrônica de Bens do Viajante já pode ser pago via PIX — Receita Federal,fato
MEI e empresários do Simples Nacional já podem indicar PIX como forma de recebimento da restituição,fato
Receita Federal volta a alertar para Fake News sobre um falso monitoramento de transações realizadas via Pix,fato
Receita Federal orienta a população sobre fake news envolvendo PIX e tributação,fato
Receita Federal e Banco do Brasil iniciam arrecadação com PIX,fato
Receita Federal alerta para golpistas que oferecem falsos descontos para pagamentos de tributos via PIX,fato
Nota à Imprensa — Receita Federal,fato
Receita Federal disponibiliza emissão de Darf Numerado para tributos declarados na DCTF,fato
Posso receber por pix? — Receita Federal,fato
Receita Federal alerta: Cuidado com o “Golpe da Cobrança de Taxa sobre PIX” — Receita Federal,fato
"1. A Receita Federal, com a atualização da e-Financeira, cria uma nova taxação sobre transações realizadas via Pix a partir de 2025?",fato
Fraude Pix.png,fato
Minha chave PIX aponta para uma conta que não uso mais. Preciso retificar a declaração? — Receita Federal,fato
Posso receber por PIX? — Receita Federal,fato
Banco Central aprimora segurança do Pix — Receita Federal,fato
Dados Bancários — Receita Federal,fato
LOTES DE RESTITUIÇÃO DO IMPOSTO SOBRE A RENDA DA PESSOA FÍSISCA Classificação por Prioridade Descrição das Colunas e Dado,fato
Qual a ordem do pagamento da restituição? — Receita Federal,fato
Por que meu banco nao aparece no programa? — Receita Federal,fato
Porque não consigo colocar minha conta bancária na declaração? — Receita Federal,fato
"Consulta ao lote residual de restituição do IRPF de abril será aberta nesta quinta-feira, 23/04 — Receita Federal",fato
Receita Federal alerta para novo golpe envolvendo transações financeiras,fato
"Consulta ao lote residual de restituição do IRPF de março será aberta nesta terça-feira, 24/03 — Receita Federal",fato
Novidades 2026 — Receita Federal,fato
"Nesta sexta-feira, 22 de agosto, será aberta a consulta ao quarto lote de restituição de IRPF 2025 — Receita Federal",fato
Receita Federal disponibiliza emissão de Darf Numerado para pagamento de ITR de Imóveis Rurais identificados com CIB alfanumérico,fato
"Receita Federal abre nesta quarta-feira, 23 de abril, consulta ao lote residual de restituição do IRPF do mês de abril/2025",fato
"Nesta segunda-feira, 23 de junho, será aberta a consulta ao segundo lote de restituição de IRPF 2025",fato
Receita começa a receber declarações do IRPF no dia 23 de março; prazo de entrega se encerra em 29 de maio,fato
PER/DCOMP Web: Salário-Família e Salário-Maternidade Pessoa Física,fato
Receita Federal esclarece evolução na e-Financeira,fato
Receita Federal divulga as regras para a entrega da Declaração do Imposto de Renda da Pessoa Física 2022,fato
Receita Federal alerta sobre novo golpe de restituição do Imposto de Renda.,fato
PER/DCOMP Web: Pagamento Indevido ou a Maior Pessoa Física - Exceto Quotas de IRPF,fato
PER/DCOMP Web: Ressarcimento de PIS/Pasep e Cofins Não Cumulativos,fato
É Golpe? — Receita Federal,fato
Receita Federal alerta para novo golpe digital envolvendo falsas pendências do IRPF,fato
Novidade no Pagamento de Impostos para Viajantes: Agora é Possível Pagar com Cartão de Crédito!,fato
Untitled,fato
Receita Federal alerta para golpes em pedidos de empréstimos e IOF,fato
image002.png — Receita Federal,fato
PER/DCOMP Web: Salário-Família e Salário-Maternidade Pessoa Jurídica,fato
Receita Federal alerta: prazo para entrega da Declaração do Imposto de Renda 2025 termina em 30 de maio,fato
"Nesta terça-feira, 23 de setembro, será aberta a consulta ao quinto lote de restituição de IRPF 2025. — Receita Federal",fato
Janeiro — Receita Federal,fato
PER/DCOMP Web: Pagamento Indevido ou a Maior Pessoa Física - Quotas de IRPF,fato
Receita Federal alerta sobre sites que simulam o leilão de mercadorias apreendidas,fato
Receita começa a receber declarações do IRPF na próxima segunda-feira (17/3) e prazo vai até 30/5,fato
Receita Federal,fato
Receita Federal abre na próxima sexta-feira (23) consulta ao maior lote de restituição do Imposto de Renda da história,fato
"Consulta ao lote residual de restituição do IRPF de janeiro será aberta nesta sexta-feira, 23/01",fato
"ATO DECLARATÓRIO EXECUTIVO CODAR Nº 24, DE 18 DE SETEMBRO DE 2025",fato
"Nesta sexta-feira, 24 de outubro, será aberta a consulta ao lote residual de restituição do IRPF do mês de outubro/2025",fato
Receita Federal recebe mais de cinco milhões de declarações do Imposto de Renda,fato
Reforma Tributária do Consumo (RTC) Manual Plataforma da CBS Versão Maio/2026,fato
Restituição do IRPF beneficia milhares de brasileiros e estimula a economia — Receita Federal,fato
"Bens a Declarar, Cálculo do Imposto e Pagamento — Receita Federal",fato
PER/DCOMP Web: Contribuição Previdenciária Indevida ou a Maior Pessoa Jurídica,fato
"Consulta ao lote residual de restituição do IRPF de fevereiro será aberta nesta sexta-feira, 20/02",fato
Coletiva de Imprensa,fato
Receita Federal alerta sobre novo golpe aplicado contra prefeituras,fato
Golpes em Compras Internacionais — Receita Federal,fato
RELATÓRIO DE ATIVIDADES 2024,fato
Receita Federal disponibiliza sistema online para entrega da DITR 2025,fato
Receita Federal recebe mais de um milhão de declarações no primeiro dia de entrega do Imposto de Renda,fato
RELATÓRIO DE PESQUISA DE PREÇOS,fato
,fato
"Receita Federal abre nesta sexta-feira, 23 de agosto, consulta ao quarto lote de restituição do IRPF 2024",fato
PER/DCOMP Web: Retenção Previdenciária Pessoa Jurídica,fato
Recebi um e-mail suspeito. — Receita Federal,fato
Receita Federal e B3 anunciam ferramenta inédita para calcular imposto de renda,fato
"Se a fiscalização aduaneira me cobrou valores diferentes do que declarei, posso pagar essa cobrança com cartão de crédito?",fato
Receita Federal amplia simplificação do Imposto de Renda e prepara novas melhorias para os próximos anos,fato
PER/DCOMP Web: Contribuição Previdenciária Indevida ou a Maior Pessoa Física - Segurado da Previdência Social,fato
Estudo Técnico Preliminar 49/2022,fato
Novidades de anos anteriores — Receita Federal,fato
"Receita Federal abre nesta segunda-feira, 24 de março, consulta ao lote residual de restituição do IRPF do mês de março/2025",fato
Rendimentos no exterior no IRPF 2023: como funcionam e como declará-los — Receita Federal,fato
Elaborando Declaração Eletrônica de Bens de Viajante — Receita Federal,fato
"Receita Federal abre nesta sexta-feira, 24 de janeiro, consulta ao lote residual de restituição do IRPF do mês de janeiro/2025",fato
Estudo Técnico Preliminar 52/2024,fato
Orçamento,fato
Receita Federal do Brasil Dados do Evento: Forma de Pagamento,fato
Golpe via SMS,fato
Roteiro para pagamento do Darf - IRPF_docx,fato
Página de Autenticação,fato
Imposto de Renda 2026: quais os erros mais comuns na declaração dos MEIs,fato
"Imposto de Renda 2026: como declarar renda de MEI, autônomos e informais",fato
Imposto de Renda 2025: quando um MEI é obrigado a declarar? Entenda as regras,fato
Imposto de Renda 2025: MEI precisa declarar como pessoa física? Entenda as regras,fato
"Receita prorroga prazo, e MEIs podem regularizar dívidas até 30 de setembro",fato
"Mais de 3,7 milhões de MEIs estão inadimplentes ou inativos",fato
País ganhou quase 1 milhão de MEIs desde o início da pandemia; veja relatos,fato
"Receita Federal cancela o CNPJ de 1,37 milhão de MEIs; veja lista",fato
Tira dúvidas do IR 2021: MEI e empréstimo,fato
Guia do MEI: entenda o que acontece com quem fatura mais que o teto de R$ 81 mil por ano,fato
Comitê regulamenta teto maior de faturamento do Simples para 2018,fato
"Imposto de Renda 2024: sou MEI, como faço minha declaração?",fato
Especialista responde dúvidas sobre MEI e pensão alimentícia,fato
"Imposto de Renda 2023: sou MEI, como faço minha declaração?",fato
PME - Saiba como o dono de um negócio informal pode se tornar MEI,fato
"Imposto de Renda 2022: sou MEI, como declarar?",fato
Reforma tributária: empresas de pequeno porte devem optar até setembro entre Simples e novo regime; decisão vale para 2027,fato
Guia do MEI: veja passo a passo como formalizar seu negócio,fato
"Imposto de Renda 2025: como declarar renda obtida por 'freelas', trabalho autônomo ou informal?",fato
"Com trabalho por conta própria em nível recorde, número de MEIs ultrapassa a marca de 9 milhões",fato
Imposto de Renda 2026: MEI precisa declarar? Veja quem é obrigado,fato
Programa de parcelamento de dívidas do MEI começa nesta segunda,fato
Consultor esclarece dúvidas sobre venda de imóveis e MEI - notícias em Imposto de Renda 2015,fato
Reforma tributária: parte das empresas do Simples terá que optar por modelo novo ou antigo; entenda vantagens e desvantagens,fato
Guia do MEI: saiba como fazer a regularização e a quais benefícios tem direito,fato
Formalização de pequenas empresas: como e quando fazer,fato
MEI com CNPJ suspenso tem até terça para se regularizar e evitar cancelamento,fato
"Auxílio-reclusão: entenda o que é, quem tem direito e como pedir",fato
Caixa lança linha de crédito de R$ 1 bilhão para mulheres MEIs,fato
Imposto de Renda 2025: hoje é o último dia para declaração; 7 milhões ainda não entregaram,fato
Nova lei desobriga salão de beleza a contratar profissionais como CLT,fato
"Nova fiscalização do PIX não é feita para pegar pequeno comerciante, diz Receita Federal",fato
Brasil perdeu mais de 400 mil empresas no 1º semestre de 2023; Mdic contesta os números,fato
Polêmica do PIX: 47 milhões de trabalhadores estão na informalidade ou devendo impostos,fato
Empreendedor recicla pneus e produz caminhas para cachorros,fato
Microempreendedor transforma pneus velhos em camas para cachorros,fato
Imposto de Renda 2026: quais gastos com educação e despesas médicas posso deduzir?,fato
Consignado CLT: entenda como funciona empréstimo para trabalhadores do setor privado,fato
Empresárias faturam com a entrega de comida em casa durante a pandemia,fato
Licença-paternidade: veja quem tem direito e como pedir o benefício,fato
"Mais de 1 milhão de micro e pequenas empresas foram abertas no país em quatro meses, aponta Sebrae",fato
Frota própria ou plataforma de entregas? Veja dicas para escolher o melhor serviço para sua empresa,fato
Empresário conta sua história de superação fazendo pães artesanais orgânicos,fato
Imposto de Renda 2026: previdência privada tem novas regras de declaração; veja como fazer,fato
Imposto de Renda 2026: os erros mais comuns na declaração e como evitar a malha fina,fato
Projeto solidário de Fábio Porchat 'socorre' pequenos empresários na pandemia,fato
Quem deve ter direito e como deve funcionar o auxílio de R$ 200 para trabalhadores informais,fato
Imposto de Renda 2024: herança e IR de falecidos; g1 responde a 10 perguntas de leitores,fato
"Construtora chinesa Sunac comprará ativos da Wanda por US$ 9,3 bilhões",fato
Vendedor de pamonha ganha mais clientes durante a quarentena,fato
Pequeno empresário conquista mais clientes durante a quarentena vendendo pamonha,fato
Consultor explica sobre mais de uma fonte de renda e ganho em loteria,fato
Estou desempregado. Vou receber alguma ajuda do governo?,fato
Desenrola para empresas e novo programa de crédito: ministro Márcio França fala ao g1,fato
"Metade dos trabalhadores aponta o dinheiro como maior causa de preocupação, diz pesquisa",fato
Impressão em 3D moderniza produção de sabonetes caseiros,fato
Governo disponibiliza central de atendimento telefônico para o eSocial,fato
Saiba quando é indicado procurar um especialista para declarar o IR - notícias em Imposto de Renda 2014,fato
Plataforma oferece serviço de assistente virtual para pessoas e empresas,fato
Calculadora do g1 mostra discrepância salarial entre homens e mulheres; veja sua área de atuação,fato
Imposto de Renda 2025: 2º lote de restituição começa a ser pago nesta segunda; veja se vai receber,fato
"Brasil perde 2,8 milhões de trabalhadores com carteira em 8 anos; informalidade e conta própria crescem",fato
"PME - Taxa de empreendedorismo do Brasil é a maior do G20, diz Sebrae",fato
Regra do PIX e cartão: veja quais situações podem ser problema para a Receita Federal,fato
Planos de saúde: veja como funciona o reajuste anual e como economizar com a sua escolha,fato
Vender comida na rua é saída da crise para milhares de brasileiros,fato
PME - Cabeleireira cria lavatório portátil e hoje fatura R$ 20 mil por mês,fato
Imposto de Renda 2018: como declarar um imóvel comprado na época do cruzado novo?,fato
PME - Molho de pimenta feito por hobby se transforma em negócio rentável,fato
Imposto de Renda 2018: como corrigir um valor de imóvel declarado errado há anos?,fato
Como pegar empréstimo consignado usando FGTS como garantia,fato
"Governo anuncia Desenrola para pequenas empresas, microcrédito e ações de estímulo à casa própria",fato
Pipoqueiro faz sucesso ao vender pipoca no mesmo lugar há 45 anos,fato
"Durante pandemia, cresce número de candidatos que passam a aceitar contratação como PJ; entenda a diferença em relação à CLT",fato
Tire dúvidas sobre dedução de gastos com dependentes no IR 2013 - notícias em Imposto de Renda 2013,fato
Consignado CLT: governo espera que empréstimos com garantia do FGTS superem R$ 100 bilhões em três meses,fato
Motoristas de apps: entenda o projeto e veja argumentos a favor e contra — e qual o caminho até virar lei,fato
Banco do Brasil e Receita Federal iniciam pagamento de impostos via PIX,fato
Quem tem direito ao Auxílio Caminhoneiro?,fato
Sem proteção: só 23% dos entregadores e motoristas de app têm cobertura do INSS,fato
Imposto de Renda 2025: 4º lote de restituição começa a ser pago nesta sexta; veja se vai receber,fato
"Com recuo do governo, mais de 200 instituições financeiras continuam sem obrigação de enviar dados do PIX à Receita Federal",fato
Tire suas dúvidas sobre o auxílio emergencial de R$ 600,fato
"Impostos, tributos e contribuições: veja o que foi adiado, suspenso ou reduzido durante a pandemia",fato
Especialista tira dúvidas sobre gasto com intercâmbio e dependentes - notícias em Imposto de Renda 2016,fato
Auxílio de R$ 1 mil para caminhoneiros começa a ser pago em 9 de agosto; veja calendário,fato
Consignado CLT: qual é o valor máximo para empréstimo? Veja perguntas e respostas,fato
Empresas relatam dificuldades e despreparo na implantação do eSocial,fato
Imposto de Renda 2025: Receita começa a receber declarações pré-preenchidas nesta terça,fato
PME - Quer abrir um pequeno negócio e tem poucos recursos? Veja 6 dicas,fato
Receita Federal alerta sobre novo 'golpe do CPF'; saiba como proteger seu documento,fato
Imposto de Renda 2018: como declarar imóvel doado para os filhos?,fato
"Consultor esclarece sobre saída do país, dívidas e doações",fato
