texto_original,texto,classe
É falso que a Receita Federal tenha cancelado o Pix de quem deve imposto ou tem o nome sujo,A receita federal tenha cancelado o pix de quem deve imposto ou tem o nome sujo,fake
"Golpistas usam vídeos falsos de Eduardo Bolsonaro, Jair e Nikolas pedindo Pix para manifestação de 16/03","Golpistas usam vídeos falsos de eduardo bolsonaro, jair e nikolas pedindo pix para manifestação de 16/03",fake
Vídeo de Nikolas Ferreira sobre o Pix não foi exibido na Times Square,Vídeo de nikolas ferreira sobre o pix não foi exibido na times square,fake
Novas regras não preveem que mendigos e pessoas que pedirem dinheiro em farol paguem imposto sobre Pix,Novas regras não preveem que mendigos e pessoas que pedirem dinheiro em farol paguem imposto sobre pix,fake
"Nova fake news sobe imposto do Pix cita alíquota de 27,5% para transações acima de R$ 5 mil","Imposto do pix cita alíquota de 27,5% para transações acima de r$ 5 mil",fake
Mensagens falsas e golpes citando Receita Federal e Pix se espalham no WhatsApp,Receita federal e pix se espalham no whatsapp,fake
Mudança de regras na Receita Federal não tem relação com “taxação de Pix” acima de R$ 5 mil,Mudança de regras na receita federal não tem relação com “taxação de pix” acima de r$ 5 mil,fake
Golpe cita distribuição de Pix de R$ 1.000 por parte de Virgínia Fonseca,Golpe cita distribuição de pix de r$ 1.000 por parte de virgínia fonseca,fake
"Conta da Cesan com código Pix não é falsa, afirma companhia","Conta da cesan com código pix não é falsa, afirma companhia",fake
Mudanças no Pix em novembro não envolvem convocação “urgente” do Banco do Brasil,Mudanças no pix em novembro não envolvem convocação “urgente” do banco do brasil,fake
"Acusações de que emendas Pix em R$ 7,7 bilhões são para roubar eleições são graves e sem provas","Acusações de que emendas pix em r$ 7,7 bilhões são para roubar eleições são graves e sem provas",fake
Golpistas enviam mensagens falando sobre Pix errado e pedem transferência de dinheiro,Golpistas enviam mensagens falando sobre pix errado e pedem transferência de dinheiro,fake
É falso que haverá a cobrança de uma taxa do Pix de R$ 8 em julho de 2024,Haverá a cobrança de uma taxa do pix de r$ 8 em julho de 2024,fake
É falso que Bolsonaro tenha doado R$ 17 milhões em Pix para vítimas das enchentes no RS,Bolsonaro tenha doado r$ 17 milhões em pix para vítimas das enchentes no rs,fake
Golpe cita quiz do Pix e promete dinheiro para quem compartilhar link,Golpe cita quiz do pix e promete dinheiro para quem compartilhar link,fake
Golpe cita aniversário da Nubank e “presente” de R$ 70 no Pix no WhatsApp,Golpe cita aniversário da nubank e “presente” de r$ 70 no pix no whatsapp,fake
Golpistas usam vídeo de Bolsonaro dublado com IA pedir doações em Pix para ato de 25 de fevereiro,Golpistas usam vídeo de bolsonaro dublado com ia pedir doações em pix para ato de 25 de fevereiro,fake
Plataforma opini.pix não vai pagar dinheiro por pesquisa sobre marcas famosas,Plataforma opini.pix não vai pagar dinheiro por pesquisa sobre marcas famosas,fake
É falso que haja um “golpe da vacina e do Pix”,Haja um “golpe da vacina e do pix”,fake
É falso que houve qualquer mudança na cobrança do Pix em janeiro de 2024,Houve qualquer mudança na cobrança do pix em janeiro de 2024,fake
É falso que WhatsApp tenha lançado atualização chamada Whatspix que paga para “avaliar marcas”,Whatsapp tenha lançado atualização chamada whatspix que paga para “avaliar marcas”,fake
É falso que a Nubank está dando um Pix de Natal para quem compartilhar no WhatsApp,A nubank está dando um pix de natal para quem compartilhar no whatsapp,fake
É possível fazer a multiplicação de pix em redes sociais?,É possível fazer a multiplicação de pix em redes sociais?,fake
É falso que Bolsonaro tenha recebido doações em Pix de 88 milhões de CPFs no 7 de setembro,Bolsonaro tenha recebido doações em pix de 88 milhões de cpfs no 7 de setembro,fake
Golpe no WhatsApp usa o nome da PG Soft Games e promete R$ 100 no Pix para quem compartilhar link,Golpe no whatsapp usa o nome da pg soft games e promete r$ 100 no pix para quem compartilhar link,fake
Golpe no WhatsApp usa nome do Fortune Tiger e oferece “bônus grátis em Pix” para quem compartilhar link,Golpe no whatsapp usa nome do fortune tiger e oferece “bônus grátis em pix” para quem compartilhar link,fake
"Lula e Caixa vão cobrar taxa do Pix de R$ 8,00 a partir de 19 de julho #boato","Lula e caixa vão cobrar taxa do pix de r$ 8,00 a partir de 19 de julho",fake
"Neymar doou R$ 1,5 milhão em Pix para Bolsonaro #boato","Neymar doou r$ 1,5 milhão em pix para bolsonaro",fake
Bolsonaro recebeu R$ 125 milhões de doações em Pix de 88 milhões de pessoas #boato,Bolsonaro recebeu r$ 125 milhões de doações em pix de 88 milhões de pessoas,fake
Bolsonaro recebeu R$ 20 milhões de doações no Pix em 24 horas #boato,Bolsonaro recebeu r$ 20 milhões de doações no pix em 24 horas,fake
Alexandre de Moraes bloqueia conta de Bolsonaro que pedia Pix #boato,Alexandre de moraes bloqueia conta de bolsonaro que pedia pix,fake
Deltan fugiu para os EUA com dinheiro do Pix que recebeu #boato,Deltan fugiu para os eua com dinheiro do pix que recebeu,fake
Lula vai começar taxar o Pix agora em julho 2023 #boato,Lula vai começar taxar o pix agora em julho 2023,fake
Nubank dá R$ 50 de Pix por causa de aniversário no WhatsApp em 2023 #boato,Nubank dá r$ 50 de pix por causa de aniversário no whatsapp em 2023,fake
Urubu do Pix vai devolver 10x o valor que você depositar para ele #boato,Urubu do pix vai devolver 10x o valor que você depositar para ele,fake
Brasileiro convence ChatGPT a enviar dinheiro para ele no Pix #boato,Brasileiro convence chatgpt a enviar dinheiro para ele no pix,fake
5 boatos sobre o sistema de pagamentos Pix,5 boatos sobre o sistema de pagamentos pix,fake
Novas regras do Pix: Lula vai cobrar tarifa para transferência #boato,Novas regras do pix: lula vai cobrar tarifa para transferência,fake
Fake News: Alexandre de Moraes fez Pix de R$ 18 mil para travesti,Alexandre de moraes fez pix de r$ 18 mil para travesti,fake
Pix de carnaval será distribuído em parceria com Nu Investimentos em site no WhatsApp #boato,Pix de carnaval será distribuído em parceria com nu investimentos em site no whatsapp,fake
Governo Lula publica tarifas do Pix para transferências e recebimentos #boato,Governo lula publica tarifas do pix para transferências e recebimentos,fake
Nubank faz Pix de R$ 150 da Copa em site no WhatsApp #boato,Nubank faz pix de r$ 150 da copa em site no whatsapp,fake
Geraldo Alckmin diz que a taxação do Pix é algo extremamente necessário #boato,Geraldo alckmin diz que a taxação do pix é algo extremamente necessário,fake
Lula define taxa para transações no Pix após encontro com banqueiros #boato,Lula define taxa para transações no pix após encontro com banqueiros,fake
Bolsonaro criou o sistema de pagamentos Pix #boato,Bolsonaro criou o sistema de pagamentos pix,fake
Nubank dá R$ 50 de Pix de Dia dos Pais em site no WhatsApp #boato,Nubank dá r$ 50 de pix de dia dos pais em site no whatsapp,fake
Novo golpe do Pix usa ligação do 95004-1117 sobre vacinação #boato,Novo golpe do pix usa ligação do 95004-1117 sobre vacinação,fake
Banqueiros definem apoio a Lula em troca da revogação do Pix #boato,Banqueiros definem apoio a lula em troca da revogação do pix,fake
Consulte se você tem direito ao Auxílio Brasil e saque R$ 2.500 com Pix compartilhando link no WhatsApp #boato,Consulte se você tem direito ao auxílio brasil e saque r$ 2.500 com pix compartilhando link no whatsapp,fake
PicPay faz quiz com PIX de R$ 200 de prêmio por causa de aniversário #boato,Picpay faz quiz com pix de r$ 200 de prêmio por causa de aniversário,fake
Nubank dá R$ 50 no Pix por causa de Dia das Mães #boato,Nubank dá r$ 50 no pix por causa de dia das mães,fake
Nubank está dando R$ 400 via Pix por causa de aniversário #boato,Nubank está dando r$ 400 via pix por causa de aniversário,fake
Mastercard dá Pix de Páscoa para quem compartilhar link no WhatsApp #boato,Mastercard dá pix de páscoa para quem compartilhar link no whatsapp,fake
Nubank dá até R$ 75 via Pix por causa de aniversário em site no WhatsApp #boato,Nubank dá até r$ 75 via pix por causa de aniversário em site no whatsapp,fake
Lula diz que vai acabar com o Pix quando assumir a Presidência #boato,Lula diz que vai acabar com o pix quando assumir a presidência,fake
Kwai está dando R$ 600 no Pix de carnaval em site no WhatsApp #boato,Kwai está dando r$ 600 no pix de carnaval em site no whatsapp,fake
Registrato abre consulta no WhatsApp para saber se você tem valor a receber via Pix #boato,Registrato abre consulta no whatsapp para saber se você tem valor a receber via pix,fake
Quiz do Pix dá R$ 50 para quem compartilhar link no WhatsApp #boato,Quiz do pix dá r$ 50 para quem compartilhar link no whatsapp,fake
Pix de Natal está sendo distribuído para quem compartilhar link no WhatsApp #boato,Pix de natal está sendo distribuído para quem compartilhar link no whatsapp,fake
Conta de energia elétrica com código PIX é um golpe #boato,Conta de energia elétrica com código pix é um golpe,fake
Caixa confirma agendamento de Pix por SMS e pede cadastro em site #boato,Caixa confirma agendamento de pix por sms e pede cadastro em site,fake
Flávio Bolsonaro não afirmou que privatizará o SUS no primeiro dia de um eventual governo,Flávio bolsonaro não afirmou que privatizará o sus no primeiro dia de um eventual governo,fake
É falso que Janja tenha sido excluída de banquete de Melania Trump com primeiras-damas,Janja tenha sido excluída de banquete de melania trump com primeiras-damas,fake
Mensagens de alerta sobre irregularidade no CPF e suspensão de CNPJ MEI são passam de golpes,Mensagens de alerta sobre irregularidade no cpf e suspensão de cnpj mei são passam de golpes,fake
Fake sobre ex-enferemeira revelar que Lula morreu em 2022 e sósia está no lugar volta a circular online,Ex-enferemeira revelar que lula morreu em 2022 e sósia está no lugar volta a circular online,fake
É falso que padre Zezinho contou o que acontece com a alma na primeira hora após a morte,Padre zezinho contou o que acontece com a alma na primeira hora após a morte,fake
Fake caça-cliques aponta que Abel Ferreira teria sido demitido do Palmeiras após derrota na Libertadores,Fake caça-cliques aponta que abel ferreira teria sido demitido do palmeiras após derrota na libertadores,fake
Vídeo de cientista pesquisador que cita “farsa da COP 30” e preservação da Amazônia não foi gravado durante evento de meio ambiente,Vídeo de cientista pesquisador que cita “farsa da cop 30” e preservação da amazônia não foi gravado durante evento de meio ambiente,fake
É falso que Drauzio Varella recomende Ameixa APP para prisão de ventre e regulação do intestino,Drauzio varella recomende ameixa app para prisão de ventre e regulação do intestino,fake
Falso alerta sobre Heineken adulterada com metanol circula em meio a onda de fake news,Heineken adulterada com metanol circula em meio a onda de fake news,fake
"6 fake news sobre Flamengo, Corinthians, São Paulo e Palmeiras que viralizaram na web","6 fake news sobre flamengo, corinthians, são paulo e palmeiras que viralizaram na web",fake
É falso que Estadão tenha dito que gesto obsceno de Moraes foi para a torcida do Palmeiras,Estadão tenha dito que gesto obsceno de moraes foi para a torcida do palmeiras,fake
Vídeo que aponta que Ronaldo foi barrado na primeira classe é falso e criado por IA,Vídeo que aponta que ronaldo foi barrado na primeira classe é falso e criado por ia,fake
É falso que governo Milei tenha revelado que Che Guevara não era médico e sim enfermeiro,Governo milei tenha revelado que che guevara não era médico e sim enfermeiro,fake
Golpe usa nome de Leila Pereira e camisas do Palmeiras para atrair torcedores,Golpe usa nome de leila pereira e camisas do palmeiras para atrair torcedores,fake
Vídeo que mostra Papa Leão XIV dizendo que Palmeiras não tem Mundial é falso,Vídeo que mostra papa leão xiv dizendo que palmeiras não tem mundial é falso,fake
Conteúdo que diz que Papa Leão XIV orou por Bolsonaro durante primeira missa é fake,Conteúdo que diz que papa leão xiv orou por bolsonaro durante primeira missa é fake,fake
Golpistas enviam mensagem no WhatsApp que informa que seu MEI foi suspenso e CNPJ inativado,Golpistas enviam mensagem no whatsapp que informa que seu mei foi suspenso e cnpj inativado,fake
É falso que enfermeira da Alemanha tenha denunciado imigrantes muçulmanos em carta “ao mundo”,Enfermeira da alemanha tenha denunciado imigrantes muçulmanos em carta “ao mundo”,fake
Caso de enfermeiros em hospital de Massachusetts não tem relação com vacina contra a Covid-19,Caso de enfermeiros em hospital de massachusetts não tem relação com vacina contra a covid-19,fake
"É falso que Primeiro-ministro do Japão, Shigeru Ishiba, disse que Lula é o maior estadista do mundo","Primeiro-ministro do japão, shigeru ishiba, disse que lula é o maior estadista do mundo",fake
É falso que STJD tenha anulado jogo entre Palmeiras e São Paulo por causa de pênalti inexistente,Stjd tenha anulado jogo entre palmeiras e são paulo por causa de pênalti inexistente,fake
"Golpe cita, novamente, saque do programa Pé-de-Meia para todas as pessoas","Golpe cita, novamente, saque do programa pé-de-meia para todas as pessoas",fake
É falso que tubarão tenha sido visto em meio ao trânsito no Recife,Tubarão tenha sido visto em meio ao trânsito no recife,fake
É falso que Corinthians tenha anunciado troca de grama sintética em estádio após roubo de gramado do Palmeiras,Corinthians tenha anunciado troca de grama sintética em estádio após roubo de gramado do palmeiras,fake
É falso que Elon Musk tenha sido insultado em primeira classe de avião e dado “lição de moral”,Elon musk tenha sido insultado em primeira classe de avião e dado “lição de moral”,fake
Vídeo de entrevista de Estevão falando que Botafogo entregou o Brasileirão para o Palmeiras foi criada com IA,Vídeo de entrevista de estevão falando que botafogo entregou o brasileirão para o palmeiras foi criada com ia,fake
Página caça-clique publica fake news de morte de Marcos Palmeira,Página caça-clique publica fake news de morte de marcos palmeira,fake
"Vídeo que mostra Messi e Cristiano Ronaldo tocando hino do Flamengo, Vasco, Corinthians e Palmeiras no violão é montagem feita com IA","Vídeo que mostra messi e cristiano ronaldo tocando hino do flamengo, vasco, corinthians e palmeiras no violão é montagem feita com ia",fake
Golpe cita aniversário da Crefisa e camisa do Palmeiras de presente para quem pagar frete,Golpe cita aniversário da crefisa e camisa do palmeiras de presente para quem pagar frete,fake
É falso que avião com a primeira-dama Janja tenha caído e morte tenha sido “confirmada”,Avião com a primeira-dama janja tenha caído e morte tenha sido “confirmada”,fake
É falso que Trump tenha sido o primeiro presidente dos EUA em 100 anos a não iniciar uma guerra,Trump tenha sido o primeiro presidente dos eua em 100 anos a não iniciar uma guerra,fake
"Foto de idosa com camiseta “eu poderia estar roubando, mas o governo chegou primeiro” não tem relação com enchentes no Rio Grande do Sul","Foto de idosa com camiseta “eu poderia estar roubando, mas o governo chegou primeiro” não tem relação com enchentes no rio grande do sul",fake
Golpe em redes sociais usa nome da Bosch e vídeo de Marcos Palmeira dublado com IA,Golpe em redes sociais usa nome da bosch e vídeo de marcos palmeira dublado com ia,fake
É falso que Eduardo Leite tenha ido a show de Ivete Sangalo em meio às enchentes no Rio Grande do Sul,Eduardo leite tenha ido a show de ivete sangalo em meio às enchentes no rio grande do sul,fake
É falso que primeira Igreja Bolsonarista do Brasil tenha sido inaugurada em São Paulo,Primeira igreja bolsonarista do brasil tenha sido inaugurada em são paulo,fake
É falso que coroinhas da igreja de Santiago de Compostela colocaram maconha no botafumeiro e foram presos,Coroinhas da igreja de santiago de compostela colocaram maconha no botafumeiro e foram presos,fake
É falso que Raphael Claus esteja sendo investigado por favorecer Palmeiras no Brasileirão,Raphael claus esteja sendo investigado por favorecer palmeiras no brasileirão,fake
Golpe cita cadastro em programa Pé-de-Meia e pedido de taxa de inscrição,Golpe cita cadastro em programa pé-de-meia e pedido de taxa de inscrição,fake
É falso que a primeira-ministra Giorgia Meloni tenha criticado Lula após fala dele sobre Israel,A primeira-ministra giorgia meloni tenha criticado lula após fala dele sobre israel,fake
Mulher que tirou foto com Bolsonaro não é a primeira-dama Janja Lula da Silva,Mulher que tirou foto com bolsonaro não é a primeira-dama janja lula da silva,fake
Paul McCartney não cantou música em homenagem a ex-primeira-dama Michelle Bolsonaro,Paul mccartney não cantou música em homenagem a ex-primeira-dama michelle bolsonaro,fake
É falso que Julia Gillard seja primeira-ministra da Austrália e tenha escrito carta sobre muçulmanos e Sharia,Julia gillard seja primeira-ministra da austrália e tenha escrito carta sobre muçulmanos e sharia,fake
É falso que Flavio Dino tenha se encontrado com “primeira-dama do Comando Vermelho (CV)” e dito que é fã dela,Flavio dino tenha se encontrado com “primeira-dama do comando vermelho (cv)” e dito que é fã dela,fake
Lula não assinou lei que permite que pessoas usem o pau de arara como meio de transporte,Lula não assinou lei que permite que pessoas usem o pau de arara como meio de transporte,fake
"Exagerado: israelenses não fazem ilhas em forma de palmeiras, arranha-céus, mas descobriram a cura de 10 doenças","Exagerado: israelenses não fazem ilhas em forma de palmeiras, arranha-céus, mas descobriram a cura de 10 doenças",fake
Discurso sobre 60 anos de Israel e tudo que o país conquistou não é do primeiro-ministro Benjamin Netanyahu,Discurso sobre 60 anos de israel e tudo que o país conquistou não é do primeiro-ministro benjamin netanyahu,fake
"Ao contrário do que aponta história, ministro Silvio Almeida não quer anular eleições do Conselho Tutelar","Ao contrário do que aponta história, ministro silvio almeida não quer anular eleições do conselho tutelar",fake
Não é verdade que a primeira-ministra de Alberta (Canadá) pediu desculpas por “discriminações” contra não vacinados,A primeira-ministra de alberta (canadá) pediu desculpas por “discriminações” contra não vacinados,fake
Vídeo “Janja fala aos brasileiros” é manipulado e coloca palavras “na boca” da primeira-dama,Vídeo “janja fala aos brasileiros” é manipulado e coloca palavras “na boca” da primeira-dama,fake
Lei de um minuto e meio pode salvar sua vida de um AVC #boato,Lei de um minuto e meio pode salvar sua vida de um avc,fake
"Lula nomeia filho de Sérgio Cabral, Fernando Cabral Filho, para o TRE-RJ #boato","Lula nomeia filho de sérgio cabral, fernando cabral filho, para o tre-rj",fake
Primeira sessão da CPMI do 8 de janeiro já começou #boato,Primeira sessão da cpmi do 8 de janeiro já começou,fake
Bolsonaro é aplaudido antes de jogo do Palmeiras na final do Paulistão 2023 #boato,Bolsonaro é aplaudido antes de jogo do palmeiras na final do paulistão 2023,fake
Delegado Rodrigo Bartolomei acusa Lula de mandar PCC o matar #boato,Delegado rodrigo bartolomei acusa lula de mandar pcc o matar,fake
Repórter da Band faz críticas a Lula e fala mal do primeiro mês de governo #boato,Repórter da band faz críticas a lula e fala mal do primeiro mês de governo,fake
Eduardo Bolsonaro alerta que intervenção militar será divulgada por meio de pronunciamento oficial #boato,Eduardo bolsonaro alerta que intervenção militar será divulgada por meio de pronunciamento oficial,fake
Bandeira do Brasil está a meio-mastro no Palácio do Planalto e em quartéis e significa que o país está em guerra #boato,Bandeira do brasil está a meio-mastro no palácio do planalto e em quartéis e significa que o país está em guerra,fake
WhatsApp é bloqueado a partir da meia-noite em novembro de 2022 #boato,Whatsapp é bloqueado a partir da meia-noite em novembro de 2022,fake
Lula diz que quer acabar com o MEI (regime de Microempreendedor Individual) #Boato,Lula diz que quer acabar com o mei (regime de microempreendedor individual),fake
"Rony, do Palmeiras, deu casa de presente ao amigo Johnatan Felipe, do Remo #boato","Rony, do palmeiras, deu casa de presente ao amigo johnatan felipe, do remo",fake
Arthur Lira está levando romeiros para visitar Padre Cícero no fim de semana das eleições #boato,Arthur lira está levando romeiros para visitar padre cícero no fim de semana das eleições,fake
Das urnas à igreja: como se deu o fluxo de explosão de fake news nas duas primeiras semanas de 2º turno?,Das urnas à igreja: como se deu o fluxo de explosão de fake news nas duas primeiras semanas de 2º turno?,fake
5 fake news que mais viralizaram no primeiro turno das eleições de 2022,5 fake news que mais viralizaram no primeiro turno das eleições de 2022,fake
Lula diz que enfermeiros só servem para servir sopa e se posicionou contra piso salarial #boato,Lula diz que enfermeiros só servem para servir sopa e se posicionou contra piso salarial,fake
Primeira semana de campanha eleitoral teve ataques infundados ao processo eleitoral e “venezuelização religiosa”,Primeira semana de campanha eleitoral teve ataques infundados ao processo eleitoral e “venezuelização religiosa”,fake
Professor da UFBA faz protesto nu em meio a alunos #boato,Professor da ufba faz protesto nu em meio a alunos,fake
Enfermeira tirou foto escondida e descobriu que testes de Covid-19 já vem com positivo e negativo #boato,Enfermeira tirou foto escondida e descobriu que testes de covid-19 já vem com positivo e negativo,fake
Saiba quem foram os maiores alvos das fake news sobre eleições nos primeiros meses de 2022,Saiba quem foram os maiores alvos das fake news sobre eleições nos primeiros meses de 2022,fake
Primeiro caso de varíola dos macacos é confirmado no Brasil #boato,Primeiro caso de varíola dos macacos é confirmado no brasil,fake
Itaú lança comercial admitindo que não se preocupa com o meio ambiente e sustentabilidade #boato,Itaú lança comercial admitindo que não se preocupa com o meio ambiente e sustentabilidade,fake
Fifa elimina Chelsea por escalar jogador com Covid-19 e Palmeiras é campeão mundial #boato,Fifa elimina chelsea por escalar jogador com covid-19 e palmeiras é campeão mundial,fake
"Primeira-ministra do Chile anuncia extinção das forças armadas e policiais e estatização de empresas, propriedades e bancos #boato","Primeira-ministra do chile anuncia extinção das forças armadas e policiais e estatização de empresas, propriedades e bancos",fake
Maurício Meirelles teve um caso com Gabriel Medina e foi pivô da separação de surfista #boato,Maurício meirelles teve um caso com gabriel medina e foi pivô da separação de surfista,fake
Pfizer “ganha” de Lula como maior alvo de fake news na primeira semana de 2022,Pfizer “ganha” de lula como maior alvo de fake news na primeira semana de 2022,fake
Golpe cita que último aviso da Receita Federal do IRPF 2025/2026 diz que Pix será cancelado se taxa não for paga,Último aviso da receita federal do irpf 2025/2026 diz que pix será cancelado se taxa não for paga,fake
É falso que Trump tenha anunciado que vai taxar produtos brasileiros em 100% por se sentir traído por Lula,Trump tenha anunciado que vai taxar produtos brasileiros em 100% por se sentir traído por lula,fake
É falso que governo vá começar a taxar corridas de rua no Brasil a partir de 2026,Governo vá começar a taxar corridas de rua no brasil a partir de 2026,fake
Golpe cita que a TIM oferece vagas de emprego home office mediante pagamento de taxa,A tim oferece vagas de emprego home office mediante pagamento de taxa,fake
É falso que o governo cobrará taxa de R$ 200 para donos de animais de estimação,O governo cobrará taxa de r$ 200 para donos de animais de estimação,fake
"Haddad reclamou da falta de taxação de bets no governo Bolsonaro, e não do “imposto do povo”","Haddad reclamou da falta de taxação de bets no governo bolsonaro, e não do “imposto do povo”",fake
É falso que governo aprovou lei que obriga famílias com mais de um filho a pagar taxa,Governo aprovou lei que obriga famílias com mais de um filho a pagar taxa,fake
"É falsa a história de que cabaré Thatys Drinks, em Fortaleza, aplicou taxa “anti-Trump” de 50% em cliente americano","É falsa a história de que cabaré thatys drinks, em fortaleza, aplicou taxa “anti-trump” de 50% em cliente americano",fake
"Taxa do lixo atribuída a Lula na internet é, na verdade, decisão municipal","Taxa do lixo atribuída a lula na internet é, na verdade, decisão municipal",fake
Golpe cita possibilidade de CNH grátis pagando taxa em site anunciado em redes sociais,Golpe cita possibilidade de cnh grátis pagando taxa em site anunciado em redes sociais,fake
Golpe cita cartão de crédito da Shopee para quem pagar uma taxa de inscrição,Golpe cita cartão de crédito da shopee para quem pagar uma taxa de inscrição,fake
Golpe no Kwai fala sobre “perfil que atende à monetização” se você pagar taxa de ativação,Golpe no kwai fala sobre “perfil que atende à monetização” se você pagar taxa de ativação,fake
É falso que Haddad tenha dito que gosta de taxar os pobres e sugeriu que comam abóbora,Haddad tenha dito que gosta de taxar os pobres e sugeriu que comam abóbora,fake
Golpe que cita o programa Voa Brasil e passagens para quem pagar taxa de adesão volta a circular na web,Golpe que cita o programa voa brasil e passagens para quem pagar taxa de adesão volta a circular na web,fake
É falso que governo tenha lançado um imposto para carros antigos chamado taxa ambiental veicular,Governo tenha lançado um imposto para carros antigos chamado taxa ambiental veicular,fake
É falso que Haddad tenha dito que vai taxar tudo e criar impostos para pets e grávidas,Haddad tenha dito que vai taxar tudo e criar impostos para pets e grávidas,fake
Mudança de regras na Receita Federal não tem relação com “taxação de Pix” acima de R$ 5 mil,Mudança de regras na receita federal não tem relação com “taxação de pix” acima de r$ 5 mil,fake
Golpe por SMS fala de CNH vencida e pede pagamento de taxa em site “Gov”,Golpe por sms fala de cnh vencida e pede pagamento de taxa em site “gov”,fake
Golpe cita cobrança de taxa para regularização de título eleitoral por parte do TSE,Golpe cita cobrança de taxa para regularização de título eleitoral por parte do tse,fake
É falso que Haddad e Lula tenham decretado taxa de 35% em cima do saque do FGTS,Haddad e lula tenham decretado taxa de 35% em cima do saque do fgts,fake
"Ao contrário do que apontam mensagens, medalha ganha em Olimpíadas é isenta de taxas e impostos","Ao contrário do que apontam mensagens, medalha ganha em olimpíadas é isenta de taxas e impostos",fake
"É falso que reforma tributária vá taxar nanoempreendedores como vendedoras de Avon, Natura e Jequiti","Reforma tributária vá taxar nanoempreendedores como vendedoras de avon, natura e jequiti",fake
Nova falcatrua fala sobre “recuperar dinheiro em golpe” pagando taxa com programa Recupera Fácil,Nova falcatrua fala sobre “recuperar dinheiro em golpe” pagando taxa com programa recupera fácil,fake
É falso que haverá a cobrança de uma taxa do Pix de R$ 8 em julho de 2024,Haverá a cobrança de uma taxa do pix de r$ 8 em julho de 2024,fake
Golpe cita cadastro em programa Pé-de-Meia e pedido de taxa de inscrição,Golpe cita cadastro em programa pé-de-meia e pedido de taxa de inscrição,fake
É falso que Lula começou a cobrar uma taxa de R$ 200 para uso de poço artesiano,Lula começou a cobrar uma taxa de r$ 200 para uso de poço artesiano,fake
Não é verdade que governo Lula decidiu começar a cobrar taxa por energia solar,Governo lula decidiu começar a cobrar taxa por energia solar,fake
Governo Lula vai taxar internet de todos os brasileiros #boato,Governo lula vai taxar internet de todos os brasileiros,fake
"Lula e Caixa vão cobrar taxa do Pix de R$ 8,00 a partir de 19 de julho #boato","Lula e caixa vão cobrar taxa do pix de r$ 8,00 a partir de 19 de julho",fake
Lula vai começar taxar o Pix agora em julho 2023 #boato,Lula vai começar taxar o pix agora em julho 2023,fake
"Taxa de licenciamento vai aumentar de R$ 33,66 para R$ 190 a partir de amanhã #boato","Taxa de licenciamento vai aumentar de r$ 33,66 para r$ 190 a partir de amanhã",fake
Geraldo Alckmin diz que a taxação do Pix é algo extremamente necessário #boato,Geraldo alckmin diz que a taxação do pix é algo extremamente necessário,fake
Lula define taxa para transações no Pix após encontro com banqueiros #boato,Lula define taxa para transações no pix após encontro com banqueiros,fake
Estudo internacional mais recente mostra que países que usam hidroxicloroquina têm taxa de mortalidade 79% menor #boato,Estudo internacional mais recente mostra que países que usam hidroxicloroquina têm taxa de mortalidade 79% menor,fake
Estudo alemão prova que altas taxas de vitamina D diminuem taxa de mortalidade por Covid-19 #boato,Estudo alemão prova que altas taxas de vitamina d diminuem taxa de mortalidade por covid-19,fake
