texto,classe
Receita Federal realiza live com o CFC sobre o Programa de Regularização de Bens no Brasil e no Exterior (Rerct-Geral),fato
Flávio bolsonaro vá acabar com o pix se for eleito como presidente,fake
MEI tem até 31 de maio para entregar declaração do Simples Nacional,fato
"6 fake news sobre flamengo, corinthians, são paulo e palmeiras que viralizaram na web",fake
Imposto de Renda 2026: quais os erros mais comuns na declaração dos MEIs,fato
Registrato abre consulta no whatsapp para saber se você tem valor a receber via pix,fake
Pix de carnaval será distribuído em parceria com nu investimentos em site no whatsapp,fake
Como declarar imposto de ganhos como motorista de aplicativo?,fato
Estadão tenha dito que gesto obsceno de moraes foi para a torcida do palmeiras,fake
Padre zezinho contou o que acontece com a alma na primeira hora após a morte,fake
Stjd tenha anulado jogo entre palmeiras e são paulo por causa de pênalti inexistente,fake
Receita Federal esclarece sobre declaração de operações com criptoativos,fato
Agência Brasil explica: declaração de Imposto de Renda para MEI,fato
Vendas via PIX são contabilizadas no limite de faturamento do Simples Nacional; entenda,fato
Avião com a primeira-dama janja tenha caído e morte tenha sido “confirmada”,fake
Fale Conosco - Simples Nacional e Microempreendedor Individual (MEI) — Receita Federal,fato
Câmara aprova criação de MEI Caminhoneiro,fato
"Imposto de Renda 2024: sou MEI, como faço minha declaração?",fato
Microempresas e MEI poderão acessar programa de crédito garantido,fato
"É autônomo, MEI ou CNPJ? Veja como declarar o Imposto de Renda",fato
Heineken adulterada com metanol circula em meio a onda de fake news,fake
"Com recuo do governo, mais de 200 instituições financeiras continuam sem obrigação de enviar dados do PIX à Receita Federal",fato
"Lula e caixa vão cobrar taxa do pix de r$ 8,00 a partir de 19 de julho",fake
Distribuição de pix de r$ 1.000 por parte de virgínia fonseca,fake
Conta de energia elétrica com código pix é um golpe,fake
LOTES DE RESTITUIÇÃO DO IMPOSTO SOBRE A RENDA DA PESSOA FÍSISCA Classificação por Prioridade Descrição das Colunas e Dado,fato
Promoção de natal da coca-cola com pix e raspadinha circula no whatsapp,fake
"Como declarar ganhos como autônomo, MEI e CNPJ no Imposto de Renda? | Radioagência Nacional",fato
Primeira sessão da cpmi do 8 de janeiro já começou,fake
"Declaração do Imposto de Renda será automática, diz ministro",fato
Limites da Declaração Online e por App — Receita Federal,fato
BC iguala limite do Pix ao das transferências eletrônicas,fato
Nova falcatrua fala sobre “recuperar dinheiro em golpe” pagando taxa com programa recupera fácil,fake
Discurso sobre 60 anos de israel e tudo que o país conquistou não é do primeiro-ministro benjamin netanyahu,fake
Guia do MEI: entenda o que acontece com quem fatura mais que o teto de R$ 81 mil por ano,fato
Nubank dá até r$ 75 via pix por causa de aniversário em site no whatsapp,fake
"Lula nomeia filho de sérgio cabral, fernando cabral filho, para o tre-rj",fake
"PIX chega a 3 milhões de cadastros em 8 horas, diz Banco Central",fato
"Ao contrário do que aponta história, ministro silvio almeida não quer anular eleições do conselho tutelar",fake
Polêmica do PIX: 47 milhões de trabalhadores estão na informalidade ou devendo impostos,fato
Último aviso da receita federal do irpf 2025/2026 diz que pix será cancelado se taxa não for paga,fake
Mudanças no pix em novembro não envolvem convocação “urgente” do banco do brasil,fake
"Ao contrário do que apontam mensagens, medalha ganha em olimpíadas é isenta de taxas e impostos",fake
Bolsonaro dublado com ia pedir doações em pix para ato de 25 de fevereiro,fake
A primeira-ministra giorgia meloni tenha criticado lula após fala dele sobre israel,fake
Termos e Condições do Meu Imposto de Renda — Receita Federal,fato
Delegado rodrigo bartolomei acusa lula de mandar pcc o matar,fake
PIX: o que o governo faz com monitoramento das transações? Que dados são enviados à Receita?,fato
Documento de arrecadação do Simples Nacional já pode ser pago via Pix — Receita Federal,fato
Porque não consigo colocar minha conta bancária na declaração? — Receita Federal,fato
Cresce número de ambulantes registrados como MEI em 2025,fato
Saiba quando é indicado procurar um especialista para declarar o IR - notícias em Imposto de Renda 2014,fato
A primeira-ministra de alberta (canadá) pediu desculpas por “discriminações” contra não vacinados,fake
Imposto de Renda 2024: como declarar aluguel pago e recebido,fato
Banco Central regulamenta Pix Saque e Pix Troco,fato
Cobrança de taxa para regularização de título eleitoral por parte do tse,fake
Golpistas enviam mensagens falando sobre pix errado e pedem transferência de dinheiro,fake
Haddad tenha dito que gosta de taxar os pobres e sugeriu que comam abóbora,fake
Golpe usa nome de leila pereira e camisas do palmeiras para atrair torcedores,fake
Das urnas à igreja: como se deu o fluxo de explosão de fake news nas duas primeiras semanas de 2º turno?,fake
"Acusações de que emendas pix em r$ 7,7 bilhões são para roubar eleições são graves e sem provas",fake
Itaú lança comercial admitindo que não se preocupa com o meio ambiente e sustentabilidade,fake
Julia gillard seja primeira-ministra da austrália e tenha escrito carta sobre muçulmanos e sharia,fake
DCTFWeb - Declaração de Débitos e Créditos Tributários Federais — Receita Federal,fato
Eduardo bolsonaro alerta que intervenção militar será divulgada por meio de pronunciamento oficial,fake
Pg soft games e promete r$ 100 no pix para quem compartilhar link,fake
Bolsonaro recebeu r$ 20 milhões de doações no pix em 24 horas,fake
Golpe por sms fala de cnh vencida e pede pagamento de taxa em site “gov”,fake
Balela: bares que quiserem transmitir copa terão que pagar taxa para fifa,fake
Imposto de Renda 2026: errou ou entregou declaração incompleta? Saiba como fazer a retificadora,fato
Receita Federal abre na próxima sexta-feira (23) consulta ao maior lote de restituição do Imposto de Renda da história,fato
"Afinal, o que é Imposto de Renda? Por que declarar?",fato
Lula define taxa para transações no pix após encontro com banqueiros,fake
Mastercard dá pix de páscoa para quem compartilhar link no whatsapp,fake
Vídeo “janja fala aos brasileiros” é manipulado e coloca palavras “na boca” da primeira-dama,fake
Prazo para declaração anual do MEI termina em 31 de maio,fato
"Imposto de 27,5% sobre pix acima de r$ 5 mil em 2026 circula novamente na internet",fake
Receita Federal e Banco do Brasil iniciam arrecadação com PIX,fato
"PIX registrou novo recorde na última sexta com 227,4 milhões de operações, diz Banco Central",fato
“golpe da vacina e do pix” volta a circular em 2025,fake
Inaptidão da inscrição no CNPJ em decorrência de omissão — Receita Federal,fato
771 mil declarações estão na malha fina do Imposto de Renda 2016,fato
Golpistas enviam mensagem no whatsapp que informa que seu mei foi suspenso e cnpj inativado,fake
"Receita Federal cancela o CNPJ de 1,37 milhão de MEIs; veja lista",fato
Receita Federal disponibiliza emissão de Darf Numerado para pagamento de ITR de Imóveis Rurais identificados com CIB alfanumérico,fato
"Boato – facebook vai cobrar taxa de $5,99 dos usuários",fake
Empresas e MEI podem regularizar dívidas com Simples Nacional até hoje,fato
Guia do MEI: veja passo a passo como formalizar seu negócio,fato
Banco Central comunica vazamento de dados de chaves Pix da 99Pay,fato
Aniversário da crefisa e camisa do palmeiras de presente para quem pagar frete,fake
Janja tenha sido excluída de banquete de melania trump com primeiras-damas,fake
NFS-e de padrão nacional será obrigatória para optantes do Simples Nacional — Receita Federal,fato
Eduardo leite tenha ido a show de ivete sangalo em meio às enchentes no rio grande do sul,fake
Governo aprovou lei que obriga famílias com mais de um filho a pagar taxa,fake
Imposto de Renda 2026: previdência privada tem novas regras de declaração; veja como fazer,fato
Primeira igreja bolsonarista do brasil tenha sido inaugurada em são paulo,fake
1940 A 1944 - O Imposto de Renda Alcança o Primeiro Lugar em Arrecadação — Receita Federal,fato
Flávio bolsonaro não afirmou que privatizará o sus no primeiro dia de um eventual governo,fake
Aniversário da nubank e “presente” de r$ 70 no pix no whatsapp,fake
Alexandre de moraes bloqueia conta de bolsonaro que pedia pix,fake
"É falsa a história de que cabaré thatys drinks, em fortaleza, aplicou taxa “anti-trump” de 50% em cliente americano",fake
"Rony, do palmeiras, deu casa de presente ao amigo johnatan felipe, do remo",fake
Caixa confirma agendamento de pix por sms e pede cadastro em site,fake
Imposto de renda 2026: veja quem precisa declarar,fato
"Taxa de licenciamento vai aumentar de r$ 33,66 para r$ 190 a partir de amanhã",fake
5 fake news que mais viralizaram no primeiro turno das eleições de 2022,fake
Cartão de crédito da shopee para quem pagar uma taxa de inscrição,fake
Imposto de Renda 2026: MEI precisa declarar? Veja quem é obrigado,fato
Tubarão tenha sido visto em meio ao trânsito no recife,fake
Posso receber por PIX? — Receita Federal,fato
"Alex brettan, diretor, avisa que whatsapp vai cobrar taxa",fake
Imposto de Renda: Saiba tudo sobre Declaração do IR - G1 Economia,fato
Elaborando Declaração Eletrônica de Bens de Viajante — Receita Federal,fato
Download do Programa de Imposto de Renda — Receita Federal,fato
Receita Federal recebe mais de um milhão de declarações no primeiro dia de entrega do Imposto de Renda,fato
Qual a ordem do pagamento da restituição? — Receita Federal,fato
Termina domingo prazo para declaração anual do MEI; confira regras,fato
Meu Imposto de Renda está disponível: veja como funciona e como fazer declaração pré-preenchida online,fato
Enfermeira tirou foto escondida e descobriu que testes de covid-19 já vem com positivo e negativo,fake
Deltan fugiu para os eua com dinheiro do pix que recebeu,fake
Novo golpe de “aplicativo de avaliação” fala sobre um tal pix my dollar,fake
Como regularizar minha obra — Receita Federal,fato
Imposto de Renda 2026: veja o que acontece se você não entregar a declaração e como evitar multas,fato
Lei de um minuto e meio pode salvar sua vida de um avc,fake
"Banco Central aumenta taxa de juros para 7,75% ao ano, maior patamar desde 2017",fato
Receita Federal alerta: prazo para entrega da Declaração do Imposto de Renda 2025 termina em 30 de maio,fato
Repórter da band faz críticas a lula e fala mal do primeiro mês de governo,fake
"Falta de pagamento de tributos por pessoas físicas e empresas não suspende uso do PIX, diz BC",fato
Eu preciso declarar recebimentos em Pix de pessoas físicas?,fato
DAI - Declaração Anual de Isento — Receita Federal,fato
"Banco Central não desistiu de regulamentar PIX Parcelado, mas não dá prazo para concluir regras",fato
Lula vai começar taxar o pix agora em julho 2023,fake
Microempreendedores têm até dia 31/1 para regularizar Simples Nacional,fato
Quem é MEI está obrigado? — Receita Federal,fato
Haddad e lula tenham decretado taxa de 35% em cima do saque do fgts,fake
Banco Central comunica exposição de dados de 8 mil chaves PIX do BTG,fato
Último aviso da receita federal do irpf 2025/2026 diz que pix será cancelado se taxa não for paga,fake
Bolsonaro é aplaudido antes de jogo do palmeiras na final do paulistão 2023,fake
Guia do MEI: saiba como fazer a regularização e a quais benefícios tem direito,fato
"Imposto de Renda 2026: como declarar renda de MEI, autônomos e informais",fato
Selic: por que o Banco Central subiu a taxa de juros e quais são as consequências,fato
Whatsapp é bloqueado a partir da meia-noite em novembro de 2022,fake
Eu sou cidadão solidário: destinação do Imposto de Renda — Receita Federal,fato
"Imposto de Renda 2023: sou MEI, como faço minha declaração?",fato
Banco Central da China declara ilegais todas as transações com criptomoedas,fato
Primeira semana de campanha eleitoral teve ataques infundados ao processo eleitoral e “venezuelização religiosa”,fake
Drauzio varella recomende ameixa app para prisão de ventre e regulação do intestino,fake
Imposto de Renda 2025: hoje é o último dia para declaração; 7 milhões ainda não entregaram,fato
É possível fazer a multiplicação de pix em redes sociais?,fake
"Primeiro-ministro do japão, shigeru ishiba, disse que lula é o maior estadista do mundo",fake
Imposto de Renda 2018: como declarar um imóvel comprado na época do cruzado novo?,fato
"Exagerado: israelenses não fazem ilhas em forma de palmeiras, arranha-céus, mas descobriram a cura de 10 doenças",fake
Pesquisa: 84% das empresas abertas no estado do Rio de Janeiro são MEI,fato
Receita Federal e B3 anunciam ferramenta inédita para calcular imposto de renda,fato
Fifa elimina chelsea por escalar jogador com covid-19 e palmeiras é campeão mundial,fake
Orientações para Regularização de Pendências - Simples Nacional — Receita Federal,fato
Imposto de Renda 2026: como declarar pensão alimentícia sem cair na malha fina,fato
Novas regras do pix: lula vai cobrar tarifa para transferência,fake
"PIX: BC relata vazamento de dados cadastrais de 159,6 mil clientes da Acesso Soluções de Pagamento",fato
Pix de natal está sendo distribuído para quem compartilhar link no whatsapp,fake
"Receita Federal recebeu 44,5 milhões de declarações do IRPF 2026",fato
", novamente, saque do programa pé-de-meia para todas as pessoas",fake
MEI com CNPJ suspenso tem até terça para se regularizar e evitar cancelamento,fato
Mensagens de alerta sobre irregularidade no cpf e suspensão de cnpj mei são passam de golpes,fake
Cadastro em programa pé-de-meia e pedido de taxa de inscrição,fake
A receita federal tenha cancelado o pix de quem deve imposto ou tem o nome sujo,fake
Bolsonaro recebeu r$ 125 milhões de doações em pix de 88 milhões de pessoas,fake
A nubank está dando um pix de natal para quem compartilhar no whatsapp,fake
"Oab entrou com um processo para o licenciamento anual (taxa grt) cair de r$ 202,55 para r$ 57,87",fake
"Haddad reclamou da falta de taxação de bets no governo bolsonaro, e não do “imposto do povo”",fake
Governo tenha lançado um imposto para carros antigos chamado taxa ambiental veicular,fake
Banco Central aprimora segurança do Pix — Receita Federal,fato
Primeiro caso de varíola dos macacos é confirmado no brasil,fake
Orientações sobre o Termo de Intimação por Omissão na Entrega de Declarações — Receita Federal,fato
Bolsonaro criou o sistema de pagamentos pix,fake
Golpe em redes sociais usa nome da bosch e vídeo de marcos palmeira dublado com ia,fake
Meu Imposto de Renda — Receita Federal,fato
Receita Federal realiza ação de cobrança e incentiva regularização de pendências no Imposto de Renda,fato
Empresas e MEI têm até dia 31 para regularizar dívidas com Simples,fato
Arthur lira está levando romeiros para visitar padre cícero no fim de semana das eleições,fake
Urubu do pix vai devolver 10x o valor que você depositar para ele,fake
Vídeo de entrevista de estevão falando que botafogo entregou o brasileirão para o palmeiras foi criada com ia,fake
Entenda o que é o Imposto de Renda e por que deve ser declarado,fato
Simples Nacional revoga exclusão de 14 profissões de lista do MEI,fato
Pfizer “ganha” de lula como maior alvo de fake news na primeira semana de 2022,fake
Houve qualquer mudança na cobrança do pix em janeiro de 2024,fake
PERGUNTAS E RESPOSTAS RERCT-GERAL O que é o Regime Especial de Regularização Geral de Bens Cambial e Tributária — RERCT-Ge,fato
O governo cobrará taxa de r$ 200 para donos de animais de estimação,fake
Imposto de Renda 2018: como corrigir um valor de imóvel declarado errado há anos?,fato
“golpe da vacina” sendo aplicado em ligação que pede para “pressionar 2” e rouba pix volta a circular em 2026,fake
Mercado livre dá presente de aniversário no pix em raspadinha online,fake
"PIX chega a 50 milhões de 'chaves' cadastradas, diz Banco Central",fato
"1. A Receita Federal, com a atualização da e-Financeira, cria uma nova taxação sobre transações realizadas via Pix a partir de 2025?",fato
PIX Automático: veja 9 perguntas e respostas sobre nova modalidade de pagamento,fato
Cadastro em programa pé-de-meia e pedido de taxa de inscrição,fake
Sief Cobrança - Intimações — Receita Federal,fato
"Saiba como declarar ganhos como autônomo, MEI e CNPJ no IR 2026",fato
Posso receber por pix? — Receita Federal,fato
Receita Federal divulga as regras para a entrega da Declaração do Imposto de Renda da Pessoa Física 2022,fato
MEI poderá emitir nota fiscal de serviço no Portal do Simples Nacional,fato
Paul mccartney não cantou música em homenagem a ex-primeira-dama michelle bolsonaro,fake
Crivella cobra taxa para suipa realizar evento de adoção de animais,fake
Coroinhas da igreja de santiago de compostela colocaram maconha no botafumeiro e foram presos,fake
PIX: cobrança de tarifas para empresas é permitida e bancos aderiram; veja quais são e quanto cobram,fato
Lula diz que vai acabar com o pix quando assumir a presidência,fake
Governo lula publica tarifas do pix para transferências e recebimentos,fake
Fortune tiger e oferece “bônus grátis em pix” para quem compartilhar link,fake
"Imposto de Renda 2022: sou MEI, como declarar?",fato
Receita Federal começa a receber declarações do IRPF nesta segunda-feira às 8 horas,fato
Whatsapp tenha lançado atualização chamada whatspix que paga para “avaliar marcas”,fake
DME - Declaração de Operações Liquidadas com Moeda em Espécie — Receita Federal,fato
Dino dá 90 dias para estados e municípios regularizarem Emendas Pix,fato
Destinação na Declaração — Receita Federal,fato
Governo lula vai taxar internet de todos os brasileiros,fake
CNPJ Alfanumérico — Receita Federal,fato
Trump tenha anunciado que vai taxar produtos brasileiros em 100% por se sentir traído por lula,fake
Kwai está dando r$ 600 no pix de carnaval em site no whatsapp,fake
Maurício meirelles teve um caso com gabriel medina e foi pivô da separação de surfista,fake
Professor da ufba faz protesto nu em meio a alunos,fake
Golpe do pix na entrega: a fraude que rouba seu dinheiro com falsa cobrança de frete na black friday,fake
Quiz do pix dá r$ 50 para quem compartilhar link no whatsapp,fake
"Imposto do pix cita alíquota de 27,5% para transações acima de r$ 5 mil",fake
"Reforma tributária vá taxar nanoempreendedores como vendedoras de avon, natura e jequiti",fake
Nubank dá r$ 50 de pix por causa de aniversário no whatsapp em 2023,fake
"Banco Central informa que vazamento no CNJ expôs dados cadastrais de 46,89 milhões de chaves PIX",fato
"Nova fiscalização do PIX não é feita para pegar pequeno comerciante, diz Receita Federal",fato
"Imposto de Renda 2026: Receita Federal estima que 2,2 milhões de declarações caíram na malha fina",fato
CNPJ terá letras e números a partir de julho de 2026 — Receita Federal,fato
Governo publica MP que proíbe impostos e cobranças extras sobre Pix,fato
MEI tem até esta sexta-feira prazo para entregar declaração anual,fato
"Quase 70% das empresas ativas no país são MEI, divulga ministério",fato
Minha chave PIX aponta para uma conta que não uso mais. Preciso retificar a declaração? — Receita Federal,fato
Imposto de Renda 2022: rendimentos isentos e tributados devem ser declarados; saiba quais são eles,fato
Imposto de Renda 2026: veja passo a passo para fazer a declaração pré-preenchida,fato
Desenrola para MEI e micro e pequenas empresas começa nesta segunda,fato
"Jogos de loteria poderão ser pagos com PIX, diz Banco Central",fato
"Na reta final do Imposto de Renda 2026, cerca de 400 mil pessoas ainda não enviaram declaração",fato
Regularização de Impostos — Receita Federal,fato
Governo lula decidiu começar a cobrar taxa por energia solar,fake
5 boatos sobre o sistema de pagamentos pix,fake
DARF da Declaração Eletrônica de Bens do Viajante já pode ser pago via PIX — Receita Federal,fato
Imposto de Renda 2025: MEI precisa declarar como pessoa física? Entenda as regras,fato
Imposto de Renda 2023: Veja quem é obrigado a declarar,fato
Flavio dino tenha se encontrado com “primeira-dama do comando vermelho (cv)” e dito que é fã dela,fake
Novo golpe do pix usa ligação do 95004-1117 sobre vacinação,fake
A receita federal cobrou imposto de renda de pai que mandava r$ 1.500 de pix para a filha todos os meses,fake
Geraldo alckmin diz que a taxação do pix é algo extremamente necessário,fake
Conteúdo que diz que papa leão xiv orou por bolsonaro durante primeira missa é fake,fake
Receita Federal recebe mais de cinco milhões de declarações do Imposto de Renda,fato
"Neymar doou r$ 1,5 milhão em pix para bolsonaro",fake
Pagamento — Receita Federal,fato
"Vídeo que mostra messi e cristiano ronaldo tocando hino do flamengo, vasco, corinthians e palmeiras no violão é montagem feita com ia",fake
Nubank dá r$ 50 de pix de dia dos pais em site no whatsapp,fake
Imposto de Renda 2026: os erros mais comuns na declaração e como evitar a malha fina,fato
MEIs podem regularizar impostos em atraso até o dia 31,fato
"Eduardo bolsonaro, jair e nikolas pedindo pix para manifestação de 16/03",fake
Elon musk tenha sido insultado em primeira classe de avião e dado “lição de moral”,fake
Imposto de Renda 2026: mais de 44 milhões de contribuintes entregaram declaração,fato
Geraldo alckmin diz que a taxação do pix é algo extremamente necessário,fake
Sebrae: pequenos negócios têm maior taxa de mortalidade,fato
"Primeira-ministra do chile anuncia extinção das forças armadas e policiais e estatização de empresas, propriedades e bancos",fake
IRPF 2026 registra recorde de entrega de declarações — Receita Federal,fato
Como realizar pagamento pelo Minhas Importações dos Correios — Receita Federal,fato
Reforma tributária: Receita prepara super sistema para aprimorar cobrança de impostos e reduzir sonegação,fato
Banqueiros definem apoio a lula em troca da revogação do pix,fake
Lula define taxa para transações no pix após encontro com banqueiros,fake
Facebook vai começar a cobrar taxas amanhã de manhã,fake
"Bens a Declarar, Cálculo do Imposto e Pagamento — Receita Federal",fato
MEI tem até 30 de setembro pra cadastrar Domicílio Judicial Eletrônico,fato
MEI e empresários do Simples Nacional já podem indicar PIX como forma de recebimento da restituição,fato
Estudo alemão prova que altas taxas de vitamina d diminuem taxa de mortalidade por covid-19,fake
Nubank está dando r$ 400 via pix por causa de aniversário,fake
Nubank faz pix de r$ 150 da copa em site no whatsapp,fake
Prazo para envio da declaração anual do MEI termina neste domingo,fato
Novidade no Pagamento de Impostos para Viajantes: Agora é Possível Pagar com Cartão de Crédito!,fato
Bolsonaro tenha doado r$ 17 milhões em pix para vítimas das enchentes no rs,fake
Como entregar a Declaração de Saída Definitiva do País — Receita Federal,fato
Lula começou a cobrar uma taxa de r$ 200 para uso de poço artesiano,fake
Programas Geradores de Declaração (PGD) — Receita Federal,fato
PIX não tem nem nunca teve taxa; entenda como funciona o meio de pagamento,fato
Regra do PIX e cartão: veja quais situações podem ser problema para a Receita Federal,fato
Receita Federal amplia simplificação do Imposto de Renda e prepara novas melhorias para os próximos anos,fato
Receita recebe mais de 10 milhões de declarações do Imposto de Renda,fato
Golpe que cita o programa voa brasil e passagens para quem pagar taxa de adesão volta a circular na web,fake
Saiba quem foram os maiores alvos das fake news sobre eleições nos primeiros meses de 2022,fake
Haddad tenha dito que vai taxar tudo e criar impostos para pets e grávidas,fake
Raphael claus esteja sendo investigado por favorecer palmeiras no brasileirão,fake
Corinthians tenha anunciado troca de grama sintética em estádio após roubo de gramado do palmeiras,fake
Durigan diz que discussão para o fim da declaração anual do Imposto de Renda está 'a todo vapor' no governo,fato
Termina hoje (29) o prazo para enviar a Declaração do Imposto de Renda — Receita Federal,fato
Lula diz que quer acabar com o mei (regime de microempreendedor individual),fake
Imigrantes se cadastrarão como MEI com regras simplificadas,fato
Haverá a cobrança de uma taxa do pix de r$ 8 em julho de 2024,fake
Banco do Brasil e Receita Federal iniciam pagamento de impostos via PIX,fato
Ex-enferemeira revelar que lula morreu em 2022 e sósia está no lugar volta a circular online,fake
Lula não assinou lei que permite que pessoas usem o pau de arara como meio de transporte,fake
Pagar impostos — Receita Federal,fato
BC decreta suspensão das atividades do Banco Neon,fato
Mulher que tirou foto com bolsonaro não é a primeira-dama janja lula da silva,fake
